Région,2G Outdoor - ORANGE,2G Outdoor - FREE,2G Outdoor - EXPRESSO,3G Outdoor - ORANGE,3G Outdoor - FREE,3G Outdoor - EXPRESSO,4G Outdoor - ORANGE,4G Outdoor - FREE
DAKAR,99.89,99.94,99.99,99.88,99.35,99.83,99.7,95.33
DIOURBEL,96.21,77.41,80.17,96.75,83.43,56.95,87.3,71.97
FATICK,97.94,84.92,67.41,95.56,79.28,37.64,81.75,29.88
KAFFRINE,96.73,66.46,61.96,91.43,52.43,10.34,82.26,36.34
KAOLACK,99.18,90.34,74.23,96.97,86.68,42.14,83.89,61.55
KEDOUGOU,93.87,39.97,0.0,85.75,21.02,0.0,76.55,44.56
KOLDA,95.62,79.97,43.26,88.12,77.33,4.21,73.19,50.99
LOUGA,95.46,78.96,71.16,96.48,75.92,49.37,72.48,53.63
MATAM,93.85,72.29,71.54,95.21,73.35,19.58,83.08,50.48
SAINT-LOUIS,99.23,82.57,92.67,98.6,86.86,37.38,86.17,50.18
SEDHIOU,95.88,87.55,41.59,93.14,83.52,0.01,77.42,25.61
TAMBACOUNDA,98.74,50.34,76.33,95.76,38.75,31.12,82.1,53.65
THIES,98.84,87.36,92.23,98.64,88.83,82.0,89.83,71.9
ZIGUINCHOR,98.46,93.24,68.96,94.42,89.14,25.61,87.03,65.42
